id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
tm182322,Kai Po Che!,MOVIE,2013,,126,"['drama', 'sport']",['IN'],0,tt2213054,7.8,36512,0.0,7.642
tm185797,Fukrey,MOVIE,2013,PG-13,137,"['romance', 'comedy', 'drama']",['IN'],0,tt2806788,6.9,11656,3.0,6.87
tm154729,Dedh Ishqiya,MOVIE,2014,R,152,"['drama', 'romance', 'thriller', 'comedy']",['IN'],0,tt2675978,7.0,7179,5.0,6.911
tm148457,Hasee Toh Phasee,MOVIE,2014,PG-13,141,"['comedy', 'romance']",['IN'],0,tt3173910,6.8,14916,3.0,6.806
tm158302,Ankhon Dekhi,MOVIE,2014,,104,"['drama', 'comedy']",['IN'],0,tt3620858,8.0,11330,0.0,7.549
tm186161,Boss,MOVIE,2013,PG-13,143,"['action', 'comedy', 'crime', 'drama']",['IN'],0,tt2763724,5.3,11059,3.0,5.889
tm151927,Mary Kom,MOVIE,2014,PG-13,122,"['drama', 'sport', 'action']",['IN'],0,tt3001638,6.9,10656,3.0,6.868
tm175812,Special 26,MOVIE,2013,,144,"['thriller', 'crime', 'drama']",['IN'],0,tt2377938,8.0,55489,0.0,7.868
tm181550,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,,160,"['crime', 'drama', 'romance', 'action']",['IN'],0,tt5037702,4.6,7127,0.0,5.7
tm160034,Humpty Sharma Ki Dulhania,MOVIE,2014,PG,133,"['drama', 'comedy', 'romance']",['IN'],0,tt3678938,6.0,12757,2.0,6.29
tm172027,The Butterfly's Dream,MOVIE,2013,PG-13,138,"['drama', 'history', 'romance']",['TR'],0,tt2882532,7.8,21882,3.0,7.562
tm151860,Free to Play,MOVIE,2014,,75,"['documentation', 'action']","['UA', 'US', 'CN', 'DE', 'SG']",0,tt3203290,7.9,13308,0.0,7.527
tm157461,Coming Soon,MOVIE,2014,PG,134,"['drama', 'comedy', 'romance']",['TR'],0,tt3698408,7.5,33714,2.0,7.383
tm177645,Wedding Association,MOVIE,2013,PG-13,106,['comedy'],['XX'],0,tt3726104,7.1,22186,3.0,7.033
tm181092,Race 2,MOVIE,2013,,150,"['thriller', 'crime', 'action']",['IN'],0,tt1375789,5.3,16302,0.0,5.757
tm183002,Madras Cafe,MOVIE,2013,PG-13,130,"['thriller', 'action', 'drama']",['IN'],0,tt2855648,7.7,24319,3.0,7.503
tm171891,Himmatwala,MOVIE,2013,,150,"['drama', 'comedy', 'action']",['IN'],0,tt2802286,1.7,8550,0.0,4.005
ts8,Better Call Saul,SHOW,2015,TV-MA,49,"['comedy', 'drama', 'crime']",['US'],6,tt3032476,8.8,404920,5.0,8.766
ts36577,The Last Kingdom,SHOW,2015,TV-MA,55,"['action', 'war', 'drama', 'history', 'european']",['GB'],5,tt4179452,8.5,126473,5.0,8.412
ts38796,Stranger Things,SHOW,2016,TV-14,52,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",['US'],5,tt4575572,8.7,989090,4.0,8.687
ts21867,Schitt's Creek,SHOW,2015,TV-14,22,['comedy'],['CA'],6,tt3526078,8.5,112537,4.0,8.402
ts35251,Grace and Frankie,SHOW,2015,TV-MA,30,"['comedy', 'drama']",['US'],7,tt3609352,8.2,48435,5.0,8.026
ts41766,The Good Place,SHOW,2016,TV-14,23,"['scifi', 'comedy', 'romance', 'drama', 'fantasy']",['US'],4,tt4955642,8.2,148562,4.0,8.138
ts36885,Ash vs Evil Dead,SHOW,2015,TV-MA,30,"['action', 'scifi', 'comedy', 'horror', 'fantasy', 'thriller']",['US'],3,tt4189022,8.4,70087,5.0,8.256
ts37539,One-Punch Man,SHOW,2015,TV-PG,24,"['action', 'fantasy', 'scifi', 'animation', 'comedy']",['JP'],2,tt4508902,8.7,148386,3.0,8.615
ts37490,Chicago Med,SHOW,2015,TV-14,41,['drama'],['US'],8,tt4655480,7.6,24142,4.0,7.424
ts41961,Queen of the South,SHOW,2016,TV-MA,42,"['drama', 'thriller', 'action', 'crime']",['US'],5,tt1064899,7.9,28537,5.0,7.687
ts42069,The Crown,SHOW,2016,TV-MA,56,"['drama', 'history', 'european']","['US', 'GB']",5,tt4786824,8.7,190878,5.0,8.633
ts37866,Call My Agent!,SHOW,2015,TV-MA,55,"['comedy', 'drama', 'european']",['FR'],4,tt4277922,8.3,13331,5.0,7.79
tm232579,Hunt for the Wilderpeople,MOVIE,2016,PG-13,101,"['comedy', 'drama', 'action']",['NZ'],0,tt4698684,7.8,125720,3.0,7.748
tm243100,Hell or High Water,MOVIE,2016,R,102,"['western', 'thriller', 'action', 'crime', 'drama']",['US'],0,tt2582782,7.6,224900,5.0,7.576
tm150928,It Follows,MOVIE,2015,R,101,"['horror', 'thriller']",['US'],0,tt3235888,6.8,233165,5.0,6.801
ts39007,Van Helsing,SHOW,2016,TV-14,42,"['scifi', 'fantasy', 'horror', 'action', 'drama']",['US'],5,tt5197820,6.1,21852,4.0,6.275
ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,"['animation', 'comedy', 'drama', 'fantasy', 'thriller']",['JP'],5,tt0417325,8.2,9651,5.0,7.619
ts36147,Lucifer,SHOW,2016,TV-14,47,"['scifi', 'crime', 'drama', 'fantasy']",['US'],6,tt4052886,8.1,308291,4.0,8.072
ts36550,DC's Legends of Tomorrow,SHOW,2016,TV-14,42,"['scifi', 'action', 'drama']",['US'],7,tt4532368,6.8,101178,4.0,6.801
tm242705,Raw,MOVIE,2016,R,98,"['horror', 'drama', 'fantasy', 'european']","['BE', 'FR']",0,tt4954522,7.0,72460,5.0,6.984
tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,"['comedy', 'animation', 'action', 'family', 'fantasy', 'drama']","['US', 'CN']",0,tt2267968,7.1,152791,2.0,7.088
ts38199,The Magicians,SHOW,2015,TV-14,44,"['drama', 'scifi', 'fantasy']",['US'],5,tt4254242,7.6,49557,4.0,7.503
tm239727,Nocturnal Animals,MOVIE,2016,R,115,"['drama', 'thriller']",['US'],0,tt4551306,7.5,264884,5.0,7.482
tm199607,The Gift,MOVIE,2015,R,108,"['thriller', 'drama', 'documentation']","['AU', 'US']",0,tt4178092,7.1,151679,5.0,7.088
ts53051,The OA,SHOW,2016,TV-MA,55,"['scifi', 'drama', 'fantasy']",['US'],2,tt4635282,7.9,100911,5.0,7.83
ts47714,Kim's Convenience,SHOW,2016,TV-14,22,['comedy'],['CA'],5,tt5912064,8.3,16970,4.0,7.867
ts21869,Sense8,SHOW,2015,TV-MA,62,"['scifi', 'thriller', 'drama']",['US'],2,tt2431438,8.2,151518,5.0,8.139
tm204163,War Dogs,MOVIE,2016,R,114,"['crime', 'drama', 'comedy', 'war']",['US'],0,tt2005151,7.1,208185,5.0,7.091
tm135307,Blackhat,MOVIE,2015,R,133,"['thriller', 'action', 'crime']",['US'],0,tt2717822,5.4,58192,5.0,5.553
ts42170,Crashing,SHOW,2016,TV-MA,30,"['comedy', 'european']",['GB'],1,tt5295524,7.7,18546,5.0,7.459
ts70529,Norsemen,SHOW,2016,TV-MA,30,"['comedy', 'drama']",['NO'],3,tt5905354,7.7,18040,5.0,7.454
tm138905,The Hateful Eight,MOVIE,2015,R,188,"['western', 'crime', 'drama', 'thriller']",['US'],0,tt3460252,7.8,570138,5.0,7.788
tm137693,Crimson Peak,MOVIE,2015,R,119,"['thriller', 'drama', 'horror', 'romance', 'fantasy']",['US'],0,tt2554274,6.5,143899,5.0,6.515
ts18010,Bloodline,SHOW,2015,TV-MA,57,"['drama', 'thriller']",['US'],3,tt0219432,7.9,50028,5.0,7.767
ts38718,Slasher,SHOW,2016,TV-MA,46,"['drama', 'horror', 'thriller', 'crime']",['CA'],4,tt13976072,6.7,14071,5.0,6.74
tm136465,Tangerine,MOVIE,2015,R,87,"['comedy', 'drama', 'crime']",['US'],0,tt3824458,7.1,31385,5.0,7.049
ts42120,Travelers,SHOW,2016,TV-MA,45,"['scifi', 'drama', 'thriller', 'crime']",['CA'],3,tt5651844,8.0,54566,5.0,7.866
